Arizona, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,54.9,-1.8
197704,58.1,1.4
197804,56.0,-0.7
197904,56.4,-0.3
198004,56.2,-0.5
198104,60.6,3.9
198204,56.8,0.1
198304,51.3,-5.4
198404,55.2,-1.5
198504,60.0,3.3
198604,58.5,1.8
198704,60.6,3.9
198804,57.1,0.4
198904,64.0,7.3
199004,59.8,3.1
199104,55.5,-1.2
199204,61.2,4.5
199304,58.6,1.9
199404,58.2,1.5
199504,54.9,-1.8
199604,59.9,3.2
199704,56.2,-0.5
199804,52.7,-4.0
199904,53.2,-3.5
200004,61.9,5.2
200104,57.5,0.8
200204,62.0,5.3
200304,55.6,-1.1
200404,57.9,1.2
200504,57.2,0.5
200604,59.0,2.3
200704,59.3,2.6
200804,58.0,1.3
200904,57.0,0.3
201004,56.1,-0.6
201104,58.9,2.2
201204,60.6,3.9
201304,59.4,2.7
201404,59.1,2.4
201504,58.4,1.7
201604,58.5,1.8
201704,59.9,3.2
201804,62.9,6.2
201904,60.3,3.6
202004,59.3,2.6
202104,61.2,4.5
