Idaho, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,54.4,-2.3
197706,61.7,5.0
197806,56.4,-0.3
197906,57.8,1.1
198006,54.9,-1.8
198106,55.4,-1.3
198206,57.1,0.4
198306,55.6,-1.1
198406,54.2,-2.5
198506,58.6,1.9
198606,62.2,5.5
198706,59.8,3.1
198806,61.9,5.2
198906,58.3,1.6
199006,57.2,0.5
199106,54.7,-2.0
199206,60.4,3.7
199306,53.6,-3.1
199406,58.4,1.7
199506,54.4,-2.3
199606,58.3,1.6
199706,57.2,0.5
199806,53.6,-3.1
199906,55.6,-1.1
200006,58.6,1.9
200106,57.4,0.7
200206,58.8,2.1
200306,59.1,2.4
200406,58.4,1.7
200506,54.3,-2.4
200606,60.6,3.9
200706,59.6,2.9
200806,56.3,-0.4
200906,56.3,-0.4
201006,55.5,-1.2
201106,54.0,-2.7
201206,56.9,0.2
201306,59.3,2.6
201406,56.7,0.0
201506,64.7,8.0
201606,61.2,4.5
201706,59.1,2.4
201806,57.7,1.0
201906,57.2,0.5
202006,56.2,-0.5
202106,65.1,8.4
