Kentucky, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,71.2,-3.6
197708,74.8,0.0
197808,74.8,0.0
197908,73.9,-0.9
198008,78.5,3.7
198108,73.3,-1.5
198208,72.2,-2.6
198308,79.3,4.5
198408,74.5,-0.3
198508,73.1,-1.7
198608,72.5,-2.3
198708,76.7,1.9
198808,77.6,2.8
198908,73.9,-0.9
199008,73.7,-1.1
199108,75.0,0.2
199208,70.7,-4.1
199308,76.0,1.2
199408,72.7,-2.1
199508,79.3,4.5
199608,74.3,-0.5
199708,73.0,-1.8
199808,75.4,0.6
199908,75.3,0.5
200008,74.8,0.0
200108,76.4,1.6
200208,77.2,2.4
200308,75.9,1.1
200408,71.2,-3.6
200508,78.0,3.2
200608,77.4,2.6
200708,80.9,6.1
200808,73.9,-0.9
200908,73.6,-1.2
201008,78.3,3.5
201108,75.8,1.0
201208,74.6,-0.2
201308,73.7,-1.1
201408,75.1,0.3
201508,72.8,-2.0
201608,78.0,3.2
201708,73.1,-1.7
201808,75.8,1.0
201908,75.6,0.8
202008,74.8,0.0
202108,76.6,1.8
