Texas, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,65.3,0.5
197704,64.0,-0.8
197804,67.8,3.0
197904,64.6,-0.2
198004,62.5,-2.3
198104,68.0,3.2
198204,64.0,-0.8
198304,60.7,-4.1
198404,64.4,-0.4
198504,66.6,1.8
198604,68.5,3.7
198704,62.2,-2.6
198804,64.0,-0.8
198904,66.6,1.8
199004,64.7,-0.1
199104,67.1,2.3
199204,64.5,-0.3
199304,63.0,-1.8
199404,65.0,0.2
199504,63.8,-1.0
199604,64.5,-0.3
199704,59.7,-5.1
199804,63.0,-1.8
199904,66.9,2.1
200004,66.1,1.3
200104,67.8,3.0
200204,69.1,4.3
200304,66.6,1.8
200404,64.3,-0.5
200504,64.3,-0.5
200604,70.7,5.9
200704,61.7,-3.1
200804,65.3,0.5
200904,64.8,0.0
201004,65.0,0.2
201104,70.3,5.5
201204,70.2,5.4
201304,63.0,-1.8
201404,65.4,0.6
201504,66.6,1.8
201604,66.1,1.3
201704,67.1,2.3
201804,63.0,-1.8
201904,65.0,0.2
202004,65.1,0.3
202104,63.7,-1.1
