Arkansas, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,51.4,8.3
197702,43.4,0.3
197802,31.7,-11.4
197902,36.3,-6.8
198002,38.0,-5.1
198102,43.6,0.5
198202,39.5,-3.6
198302,43.7,0.6
198402,45.6,2.5
198502,37.8,-5.3
198602,47.0,3.9
198702,45.6,2.5
198802,41.5,-1.6
198902,37.2,-5.9
199002,49.3,6.2
199102,46.5,3.4
199202,48.6,5.5
199302,41.3,-1.8
199402,43.0,-0.1
199502,44.5,1.4
199602,44.4,1.3
199702,46.0,2.9
199802,46.5,3.4
199902,49.6,6.5
200002,49.1,6.0
200102,45.5,2.4
200202,42.3,-0.8
200302,40.1,-3.0
200402,40.6,-2.5
200502,47.5,4.4
200602,40.8,-2.3
200702,40.9,-2.2
200802,43.6,0.5
200902,47.3,4.2
201002,36.5,-6.6
201102,43.9,0.8
201202,47.2,4.1
201302,43.3,0.2
201402,38.8,-4.3
201502,36.1,-7.0
201602,46.9,3.8
201702,52.5,9.4
201802,45.9,2.8
201902,46.0,2.9
202002,44.5,1.4
202102,34.8,-8.3
202202,42.1,-1.0
