Michigan, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,26.1,7.0
197702,19.2,0.1
197802,12.6,-6.5
197902,10.6,-8.5
198002,17.2,-1.9
198102,23.8,4.7
198202,17.2,-1.9
198302,26.6,7.5
198402,29.0,9.9
198502,18.0,-1.1
198602,19.4,0.3
198702,25.8,6.7
198802,17.0,-2.1
198902,16.3,-2.8
199002,23.7,4.6
199102,25.2,6.1
199202,25.1,6.0
199302,17.9,-1.2
199402,14.2,-4.9
199502,19.1,0.0
199602,19.0,-0.1
199702,23.5,4.4
199802,32.0,12.9
199902,27.3,8.2
200002,26.5,7.4
200102,22.1,3.0
200202,27.4,8.3
200302,16.3,-2.8
200402,22.6,3.5
200502,25.2,6.1
200602,22.5,3.4
200702,15.2,-3.9
200802,18.2,-0.9
200902,22.9,3.8
201002,23.1,4.0
201102,21.3,2.2
201202,28.4,9.3
201302,20.9,1.8
201402,12.7,-6.4
201502,8.0,-11.1
201602,25.3,6.2
201702,29.9,10.8
201802,23.0,3.9
201902,19.9,0.8
202002,23.7,4.6
202102,17.3,-1.8
202202,19.5,0.4
