Virginia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,32.0,-2.8
197701,22.8,-12.0
197801,27.8,-7.0
197901,32.0,-2.8
198001,34.9,0.1
198101,29.2,-5.6
198201,28.3,-6.5
198301,34.0,-0.8
198401,30.8,-4.0
198501,29.5,-5.3
198601,33.6,-1.2
198701,32.7,-2.1
198801,29.5,-5.3
198901,39.5,4.7
199001,42.0,7.2
199101,37.1,2.3
199201,37.4,2.6
199301,38.8,4.0
199401,29.4,-5.4
199501,37.3,2.5
199601,32.9,-1.9
199701,35.2,0.4
199801,40.7,5.9
199901,39.0,4.2
200001,34.0,-0.8
200101,34.3,-0.5
200201,39.2,4.4
200301,31.1,-3.7
200401,32.1,-2.7
200501,37.7,2.9
200601,42.4,7.6
200701,39.9,5.1
200801,36.0,1.2
200901,32.6,-2.2
201001,32.7,-2.1
201101,32.1,-2.7
201201,38.9,4.1
201301,38.5,3.7
201401,29.4,-5.4
201501,33.8,-1.0
201601,33.1,-1.7
201701,40.1,5.3
201801,31.8,-3.0
201901,36.3,1.5
202001,40.6,5.8
202101,36.6,1.8
202201,32.8,-2.0
