New Hampshire, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,12.0,-5.1
197701,10.8,-6.3
197801,16.2,-0.9
197901,19.0,1.9
198001,19.6,2.5
198101,10.0,-7.1
198201,8.6,-8.5
198301,19.9,2.8
198401,14.9,-2.2
198501,13.0,-4.1
198601,19.6,2.5
198701,17.0,-0.1
198801,16.2,-0.9
198901,21.9,4.8
199001,26.0,8.9
199101,17.6,0.5
199201,18.7,1.6
199301,21.0,3.9
199401,8.7,-8.4
199501,24.8,7.7
199601,17.8,0.7
199701,17.8,0.7
199801,23.2,6.1
199901,18.8,1.7
200001,16.9,-0.2
200101,18.5,1.4
200201,26.6,9.5
200301,11.5,-5.6
200401,10.3,-6.8
200501,16.0,-1.1
200601,26.4,9.3
200701,21.5,4.4
200801,22.0,4.9
200901,12.3,-4.8
201001,21.1,4.0
201101,16.8,-0.3
201201,22.7,5.6
201301,20.2,3.1
201401,16.5,-0.6
201501,14.6,-2.5
201601,22.9,5.8
201701,25.7,8.6
201801,18.3,1.2
201901,18.0,0.9
202001,25.2,8.1
202101,23.0,5.9
202201,14.8,-2.3
