North Carolina, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,59.2,1.4
197704,61.3,3.5
197804,58.7,0.9
197904,58.9,1.1
198004,58.6,0.8
198104,61.5,3.7
198204,55.4,-2.4
198304,53.8,-4.0
198404,55.3,-2.5
198504,60.9,3.1
198604,59.9,2.1
198704,55.1,-2.7
198804,57.0,-0.8
198904,56.7,-1.1
199004,57.8,0.0
199104,60.6,2.8
199204,57.3,-0.5
199304,55.4,-2.4
199404,61.3,3.5
199504,59.4,1.6
199604,57.4,-0.4
199704,54.5,-3.3
199804,58.5,0.7
199904,60.4,2.6
200004,56.9,-0.9
200104,59.8,2.0
200204,62.5,4.7
200304,57.6,-0.2
200404,58.8,1.0
200504,57.6,-0.2
200604,61.7,3.9
200704,57.3,-0.5
200804,58.7,0.9
200904,58.7,0.9
201004,61.3,3.5
201104,61.4,3.6
201204,59.2,1.4
201304,58.7,0.9
201404,59.2,1.4
201504,60.0,2.2
201604,58.7,0.9
201704,63.9,6.1
201804,56.1,-1.7
201904,61.1,3.3
202004,57.4,-0.4
202104,58.5,0.7
