New Mexico, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,58.9,-1.3
197705,60.0,-0.2
197805,59.4,-0.8
197905,58.6,-1.6
198005,57.9,-2.3
198105,59.9,-0.3
198205,58.7,-1.5
198305,57.2,-3.0
198405,63.9,3.7
198505,60.7,0.5
198605,60.2,0.0
198705,58.5,-1.7
198805,59.7,-0.5
198905,63.6,3.4
199005,59.7,-0.5
199105,61.1,0.9
199205,59.4,-0.8
199305,60.5,0.3
199405,61.1,0.9
199505,58.7,-1.5
199605,66.7,6.5
199705,61.4,1.2
199805,61.8,1.6
199905,59.8,-0.4
200005,66.0,5.8
200105,63.1,2.9
200205,62.7,2.5
200305,63.2,3.0
200405,63.1,2.9
200505,61.6,1.4
200605,65.0,4.8
200705,60.0,-0.2
200805,60.2,0.0
200905,63.6,3.4
201005,59.9,-0.3
201105,59.6,-0.6
201205,63.4,3.2
201305,61.6,1.4
201405,60.1,-0.1
201505,58.3,-1.9
201605,59.4,-0.8
201705,60.1,-0.1
201805,65.5,5.3
201905,58.1,-2.1
202005,65.1,4.9
202105,62.6,2.4
