North Carolina, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,71.6,-2.0
197706,72.5,-1.1
197806,73.4,-0.2
197906,69.8,-3.8
198006,72.2,-1.4
198106,77.0,3.4
198206,72.6,-1.0
198306,71.7,-1.9
198406,74.4,0.8
198506,73.7,0.1
198606,75.9,2.3
198706,74.8,1.2
198806,72.0,-1.6
198906,75.1,1.5
199006,73.7,0.1
199106,74.0,0.4
199206,70.5,-3.1
199306,74.4,0.8
199406,75.5,1.9
199506,72.2,-1.4
199606,73.9,0.3
199706,70.3,-3.3
199806,75.8,2.2
199906,72.4,-1.2
200006,75.0,1.4
200106,74.3,0.7
200206,75.2,1.6
200306,72.5,-1.1
200406,74.4,0.8
200506,73.5,-0.1
200606,73.1,-0.5
200706,74.1,0.5
200806,77.1,3.5
200906,75.1,1.5
201006,78.8,5.2
201106,77.0,3.4
201206,72.3,-1.3
201306,74.3,0.7
201406,75.2,1.6
201506,77.3,3.7
201606,75.3,1.7
201706,73.8,0.2
201806,76.8,3.2
201906,74.2,0.6
202006,73.2,-0.4
202106,73.8,0.2
