Nebraska, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,68.6,0.3
197706,71.8,3.5
197806,69.4,1.1
197906,67.9,-0.4
198006,71.0,2.7
198106,70.2,1.9
198206,63.5,-4.8
198306,66.3,-2.0
198406,69.1,0.8
198506,66.1,-2.2
198606,71.6,3.3
198706,71.0,2.7
198806,74.8,6.5
198906,66.0,-2.3
199006,71.0,2.7
199106,71.6,3.3
199206,65.2,-3.1
199306,65.3,-3.0
199406,71.1,2.8
199506,66.6,-1.7
199606,69.5,1.2
199706,69.4,1.1
199806,65.0,-3.3
199906,66.9,-1.4
200006,67.6,-0.7
200106,68.5,0.2
200206,73.9,5.6
200306,66.1,-2.2
200406,65.2,-3.1
200506,70.0,1.7
200606,71.8,3.5
200706,69.2,0.9
200806,67.5,-0.8
200906,66.8,-1.5
201006,69.6,1.3
201106,68.2,-0.1
201206,73.4,5.1
201306,68.8,0.5
201406,68.1,-0.2
201506,69.8,1.5
201606,73.3,5.0
201706,70.7,2.4
201806,72.2,3.9
201906,68.0,-0.3
202006,73.5,5.2
202106,72.8,4.5
