West Virginia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,27.2,-3.3
197701,16.1,-14.4
197801,21.7,-8.8
197901,25.4,-5.1
198001,30.9,0.4
198101,24.0,-6.5
198201,25.0,-5.5
198301,30.4,-0.1
198401,26.1,-4.4
198501,23.9,-6.6
198601,28.6,-1.9
198701,29.3,-1.2
198801,26.4,-4.1
198901,36.8,6.3
199001,38.0,7.5
199101,32.6,2.1
199201,32.1,1.6
199301,36.3,5.8
199401,24.0,-6.5
199501,32.4,1.9
199601,29.5,-1.0
199701,30.7,0.2
199801,37.6,7.1
199901,34.5,4.0
200001,29.5,-1.0
200101,29.4,-1.1
200201,35.0,4.5
200301,25.5,-5.0
200401,27.5,-3.0
200501,34.5,4.0
200601,39.4,8.9
200701,35.5,5.0
200801,30.8,0.3
200901,27.2,-3.3
201001,27.7,-2.8
201101,27.1,-3.4
201201,34.9,4.4
201301,33.9,3.4
201401,23.5,-7.0
201501,28.8,-1.7
201601,27.6,-2.9
201701,37.5,7.0
201801,27.0,-3.5
201901,32.0,1.5
202001,37.3,6.8
202101,32.6,2.1
202201,27.2,-3.3
