Colorado, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,64.2,-1.0
197708,65.6,0.4
197808,64.2,-1.0
197908,63.9,-1.3
198008,65.8,0.6
198108,64.6,-0.6
198208,66.9,1.7
198308,68.6,3.4
198408,66.2,1.0
198508,66.0,0.8
198608,65.6,0.4
198708,64.0,-1.2
198808,66.9,1.7
198908,64.5,-0.7
199008,64.8,-0.4
199108,65.5,0.3
199208,63.4,-1.8
199308,63.9,-1.3
199408,67.8,2.6
199508,68.8,3.6
199608,66.1,0.9
199708,65.0,-0.2
199808,66.2,1.0
199908,65.5,0.3
200008,69.0,3.8
200108,66.9,1.7
200208,66.8,1.6
200308,68.4,3.2
200408,63.2,-2.0
200508,65.0,-0.2
200608,65.6,0.4
200708,68.8,3.6
200808,65.7,0.5
200908,64.8,-0.4
201008,66.5,1.3
201108,69.2,4.0
201208,67.7,2.5
201308,67.0,1.8
201408,64.6,-0.6
201508,66.9,1.7
201608,64.5,-0.7
201708,64.7,-0.5
201808,66.2,1.0
201908,68.3,3.1
202008,70.1,4.9
202108,67.3,2.1
