Massachusetts, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,19.6,-4.5
197701,16.2,-7.9
197801,22.8,-1.3
197901,26.0,1.9
198001,26.1,2.0
198101,16.0,-8.1
198201,16.5,-7.6
198301,26.1,2.0
198401,21.6,-2.5
198501,19.8,-4.3
198601,26.4,2.3
198701,23.6,-0.5
198801,21.7,-2.4
198901,29.0,4.9
199001,32.6,8.5
199101,24.9,0.8
199201,26.4,2.3
199301,27.7,3.6
199401,17.1,-7.0
199501,31.6,7.5
199601,24.6,0.5
199701,25.4,1.3
199801,31.1,7.0
199901,26.0,1.9
200001,23.5,-0.6
200101,24.6,0.5
200201,32.4,8.3
200301,19.0,-5.1
200401,17.3,-6.8
200501,23.0,-1.1
200601,32.9,8.8
200701,29.9,5.8
200801,28.2,4.1
200901,19.8,-4.3
201001,25.9,1.8
201101,22.4,-1.7
201201,30.4,6.3
201301,27.5,3.4
201401,23.0,-1.1
201501,21.8,-2.3
201601,28.5,4.4
201701,31.5,7.4
201801,24.5,0.4
201901,25.9,1.8
202001,32.0,7.9
202101,28.7,4.6
202201,23.5,-0.6
