Idaho, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,24.3,2.3
197701,19.0,-3.0
197801,27.6,5.6
197901,11.2,-10.8
198001,21.7,-0.3
198101,29.2,7.2
198201,20.8,-1.2
198301,28.4,6.4
198401,20.0,-2.0
198501,17.3,-4.7
198601,25.7,3.7
198701,21.2,-0.8
198801,21.1,-0.9
198901,20.8,-1.2
199001,26.9,4.9
199101,20.9,-1.1
199201,26.0,4.0
199301,19.1,-2.9
199401,28.7,6.7
199501,26.6,4.6
199601,24.0,2.0
199701,24.1,2.1
199801,27.9,5.9
199901,27.1,5.1
200001,25.7,3.7
200101,23.0,1.0
200201,23.2,1.2
200301,31.4,9.4
200401,22.8,0.8
200501,26.5,4.5
200601,27.9,5.9
200701,20.7,-1.3
200801,19.9,-2.1
200901,25.0,3.0
201001,28.2,6.2
201101,24.0,2.0
201201,26.8,4.8
201301,20.2,-1.8
201401,27.7,5.7
201501,28.7,6.7
201601,25.8,3.8
201701,18.5,-3.5
201801,30.4,8.4
201901,26.3,4.3
202001,27.3,5.3
202101,26.6,4.6
202201,23.8,1.8
