Utah, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,33.2,2.9
197702,33.1,2.8
197802,32.2,1.9
197902,25.9,-4.4
198002,33.2,2.9
198102,34.0,3.7
198202,28.8,-1.5
198302,33.5,3.2
198402,24.7,-5.6
198502,24.7,-5.6
198602,36.2,5.9
198702,32.5,2.2
198802,30.8,0.5
198902,25.8,-4.5
199002,29.3,-1.0
199102,34.7,4.4
199202,34.9,4.6
199302,28.1,-2.2
199402,29.8,-0.5
199502,39.3,9.0
199602,34.1,3.8
199702,29.5,-0.8
199802,31.5,1.2
199902,34.0,3.7
200002,36.0,5.7
200102,31.7,1.4
200202,29.0,-1.3
200302,31.0,0.7
200402,27.8,-2.5
200502,33.5,3.2
200602,31.5,1.2
200702,34.3,4.0
200802,30.5,0.2
200902,33.1,2.8
201002,29.9,-0.4
201102,28.6,-1.7
201202,31.7,1.4
201302,27.6,-2.7
201402,35.7,5.4
201502,38.9,8.6
201602,33.7,3.4
201702,36.5,6.2
201802,32.2,1.9
201902,27.2,-3.1
202002,31.1,0.8
202102,32.2,1.9
202202,29.6,-0.7
