Kansas, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,59.9,-3.5
197705,67.7,4.3
197805,61.9,-1.5
197905,61.5,-1.9
198005,62.6,-0.8
198105,60.3,-3.1
198205,63.9,0.5
198305,59.4,-4.0
198405,62.2,-1.2
198505,65.6,2.2
198605,64.3,0.9
198705,67.2,3.8
198805,66.2,2.8
198905,64.0,0.6
199005,60.4,-3.0
199105,67.0,3.6
199205,62.7,-0.7
199305,62.3,-1.1
199405,64.7,1.3
199505,57.3,-6.1
199605,65.2,1.8
199705,60.7,-2.7
199805,67.9,4.5
199905,63.1,-0.3
200005,66.5,3.1
200105,65.1,1.7
200205,62.1,-1.3
200305,62.9,-0.5
200405,66.9,3.5
200505,64.1,0.7
200605,65.8,2.4
200705,65.9,2.5
200805,63.0,-0.4
200905,63.0,-0.4
201005,62.1,-1.3
201105,62.6,-0.8
201205,69.0,5.6
201305,63.3,-0.1
201405,64.7,1.3
201505,61.7,-1.7
201605,61.6,-1.8
201705,62.2,-1.2
201805,71.1,7.7
201905,60.5,-2.9
202005,61.7,-1.7
202105,61.9,-1.5
