Kansas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,77.6,0.3
197708,75.4,-1.9
197808,77.3,0.0
197908,75.5,-1.8
198008,80.6,3.3
198108,74.8,-2.5
198208,77.9,0.6
198308,83.8,6.5
198408,79.5,2.2
198508,74.6,-2.7
198608,74.4,-2.9
198708,76.0,-1.3
198808,79.2,1.9
198908,75.0,-2.3
199008,77.0,-0.3
199108,77.0,-0.3
199208,70.9,-6.4
199308,76.9,-0.4
199408,76.9,-0.4
199508,80.2,2.9
199608,74.5,-2.8
199708,75.1,-2.2
199808,77.9,0.6
199908,77.5,0.2
200008,83.0,5.7
200108,79.0,1.7
200208,78.4,1.1
200308,80.2,2.9
200408,72.7,-4.6
200508,77.3,0.0
200608,78.8,1.5
200708,81.5,4.2
200808,75.2,-2.1
200908,74.4,-2.9
201008,79.7,2.4
201108,80.9,3.6
201208,76.5,-0.8
201308,76.5,-0.8
201408,78.3,1.0
201508,75.2,-2.1
201608,76.4,-0.9
201708,73.1,-4.2
201808,75.7,-1.6
201908,77.1,-0.2
202008,76.4,-0.9
202108,79.1,1.8
