New Hampshire, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,63.7,-0.4
197708,64.4,0.3
197808,65.1,1.0
197908,63.6,-0.5
198008,66.3,2.2
198108,63.6,-0.5
198208,61.9,-2.2
198308,66.1,2.0
198408,67.5,3.4
198508,63.6,-0.5
198608,63.1,-1.0
198708,62.3,-1.8
198808,67.6,3.5
198908,64.0,-0.1
199008,66.6,2.5
199108,66.5,2.4
199208,63.3,-0.8
199308,66.4,2.3
199408,63.5,-0.6
199508,65.5,1.4
199608,65.7,1.6
199708,64.1,0.0
199808,66.3,2.2
199908,64.6,0.5
200008,63.7,-0.4
200108,68.6,4.5
200208,68.3,4.2
200308,67.9,3.8
200408,65.7,1.6
200508,67.4,3.3
200608,63.8,-0.3
200708,65.6,1.5
200808,63.8,-0.3
200908,67.0,2.9
201008,66.0,1.9
201108,66.2,2.1
201208,68.2,4.1
201308,64.8,0.7
201408,64.0,-0.1
201508,67.6,3.5
201608,68.2,4.1
201708,64.1,0.0
201808,69.2,5.1
201908,65.7,1.6
202008,66.5,2.4
202108,69.2,5.1
