Illinois, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,58.7,-3.4
197705,68.9,6.8
197805,60.8,-1.3
197905,61.4,-0.7
198005,63.2,1.1
198105,58.2,-3.9
198205,67.4,5.3
198305,58.9,-3.2
198405,59.2,-2.9
198505,64.5,2.4
198605,64.1,2.0
198705,68.2,6.1
198805,64.6,2.5
198905,59.5,-2.6
199005,59.0,-3.1
199105,68.6,6.5
199205,61.2,-0.9
199305,63.2,1.1
199405,60.6,-1.5
199505,60.1,-2.0
199605,61.6,-0.5
199705,57.6,-4.5
199805,67.4,5.3
199905,64.1,2.0
200005,65.1,3.0
200105,64.8,2.7
200205,59.1,-3.0
200305,61.1,-1.0
200405,65.7,3.6
200505,60.9,-1.2
200605,62.3,0.2
200705,67.6,5.5
200805,59.0,-3.1
200905,62.8,0.7
201005,64.3,2.2
201105,62.1,0.0
201205,68.1,6.0
201305,63.9,1.8
201405,63.7,1.6
201505,64.9,2.8
201605,62.0,-0.1
201705,61.9,-0.2
201805,70.7,8.6
201905,62.5,0.4
202005,60.6,-1.5
202105,61.1,-1.0
