Utah, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,27.5,0.5
197712,33.6,6.6
197812,20.9,-6.1
197912,28.7,1.7
198012,34.4,7.4
198112,32.1,5.1
198212,26.9,-0.1
198312,27.2,0.2
198412,25.7,-1.3
198512,25.8,-1.2
198612,29.0,2.0
198712,25.9,-1.1
198812,25.6,-1.4
198912,29.1,2.1
199012,19.8,-7.2
199112,26.4,-0.6
199212,23.4,-3.6
199312,27.7,0.7
199412,29.4,2.4
199512,31.9,4.9
199612,30.0,3.0
199712,26.4,-0.6
199812,27.0,0.0
199912,28.8,1.8
200012,30.4,3.4
200112,25.0,-2.0
200212,29.3,2.3
200312,30.3,3.3
200412,30.1,3.1
200512,29.2,2.2
200612,27.9,0.9
200712,24.6,-2.4
200812,27.0,0.0
200912,21.6,-5.4
201012,32.5,5.5
201112,26.8,-0.2
201212,27.8,0.8
201312,23.1,-3.9
201412,31.7,4.7
201512,26.6,-0.4
201612,27.4,0.4
201712,31.4,4.4
201812,27.4,0.4
201912,28.8,1.8
202012,27.2,0.2
202112,31.1,4.1
