Louisiana, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,75.5,-1.7
197709,79.3,2.1
197809,78.1,0.9
197909,75.0,-2.2
198009,81.3,4.1
198109,75.2,-2.0
198209,75.3,-1.9
198309,75.0,-2.2
198409,75.1,-2.1
198509,76.3,-0.9
198609,79.9,2.7
198709,76.1,-1.1
198809,77.4,0.2
198909,75.0,-2.2
199009,78.7,1.5
199109,75.8,-1.4
199209,76.4,-0.8
199309,77.9,0.7
199409,75.4,-1.8
199509,77.3,0.1
199609,75.7,-1.5
199709,78.3,1.1
199809,80.6,3.4
199909,75.8,-1.4
200009,77.7,0.5
200109,75.4,-1.8
200209,78.6,1.4
200309,76.0,-1.2
200409,77.8,0.6
200509,81.3,4.1
200609,75.9,-1.3
200709,78.6,1.4
200809,75.4,-1.8
200909,77.4,0.2
201009,79.8,2.6
201109,76.0,-1.2
201209,77.4,0.2
201309,79.9,2.7
201409,78.1,0.9
201509,78.5,1.3
201609,80.2,3.0
201709,77.0,-0.2
201809,80.2,3.0
201909,82.2,5.0
202009,77.6,0.4
202109,76.9,-0.3
