Missouri, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,43.3,9.5
197702,34.7,0.9
197802,21.5,-12.3
197902,23.4,-10.4
198002,27.8,-6.0
198102,35.4,1.6
198202,30.2,-3.6
198302,37.2,3.4
198402,40.2,6.4
198502,28.1,-5.7
198602,34.5,0.7
198702,39.5,5.7
198802,30.2,-3.6
198902,25.6,-8.2
199002,39.7,5.9
199102,39.9,6.1
199202,41.1,7.3
199302,30.7,-3.1
199402,32.5,-1.3
199502,36.0,2.2
199602,35.4,1.6
199702,37.4,3.6
199802,41.2,7.4
199902,42.4,8.6
200002,42.2,8.4
200102,34.3,0.5
200202,37.3,3.5
200302,31.2,-2.6
200402,33.1,-0.7
200502,40.1,6.3
200602,34.2,0.4
200702,29.4,-4.4
200802,31.0,-2.8
200902,38.4,4.6
201002,28.4,-5.4
201102,33.2,-0.6
201202,39.9,6.1
201302,34.4,0.6
201402,26.5,-7.3
201502,26.2,-7.6
201602,39.1,5.3
201702,45.1,11.3
201802,35.6,1.8
201902,33.0,-0.8
202002,35.4,1.6
202102,24.4,-9.4
202202,32.6,-1.2
