Louisiana, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,47.3,-3.6
197712,50.0,-0.9
197812,50.8,-0.1
197912,49.0,-1.9
198012,49.7,-1.2
198112,49.2,-1.7
198212,55.4,4.5
198312,44.0,-6.9
198412,60.1,9.2
198512,46.9,-4.0
198612,49.1,-1.8
198712,54.0,3.1
198812,51.5,0.6
198912,42.0,-8.9
199012,53.0,2.1
199112,54.8,3.9
199212,52.9,2.0
199312,50.5,-0.4
199412,53.1,2.2
199512,50.5,-0.4
199612,54.1,3.2
199712,49.0,-1.9
199812,53.6,2.7
199912,50.9,0.0
200012,43.7,-7.2
200112,54.4,3.5
200212,50.8,-0.1
200312,49.4,-1.5
200412,49.7,-1.2
200512,49.2,-1.7
200612,52.1,1.2
200712,55.4,4.5
200812,52.5,1.6
200912,48.1,-2.8
201012,48.1,-2.8
201112,51.3,0.4
201212,55.0,4.1
201312,49.6,-1.3
201412,53.7,2.8
201512,59.1,8.2
201612,54.7,3.8
201712,50.8,-0.1
201812,52.6,1.7
201912,54.1,3.2
202012,50.9,0.0
202112,62.4,11.5
