Maine, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,63.5,0.5
197708,63.0,0.0
197808,64.1,1.1
197908,61.8,-1.2
198008,65.5,2.5
198108,63.2,0.2
198208,60.2,-2.8
198308,64.8,1.8
198408,66.6,3.6
198508,62.4,-0.6
198608,61.8,-1.2
198708,61.9,-1.1
198808,65.7,2.7
198908,63.2,0.2
199008,66.2,3.2
199108,65.7,2.7
199208,63.3,0.3
199308,65.7,2.7
199408,62.7,-0.3
199508,64.9,1.9
199608,64.2,1.2
199708,62.8,-0.2
199808,64.8,1.8
199908,63.9,0.9
200008,63.1,0.1
200108,67.0,4.0
200208,66.7,3.7
200308,66.0,3.0
200408,64.6,1.6
200508,65.5,2.5
200608,61.7,-1.3
200708,63.5,0.5
200808,63.1,0.1
200908,66.1,3.1
201008,65.2,2.2
201108,64.8,1.8
201208,67.4,4.4
201308,63.7,0.7
201408,64.4,1.4
201508,67.2,4.2
201608,66.6,3.6
201708,63.3,0.3
201808,68.0,5.0
201908,64.5,1.5
202008,65.6,2.6
202108,68.3,5.3
