Ohio, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,23.1,-3.8
197701,11.1,-15.8
197801,18.0,-8.9
197901,20.0,-6.9
198001,27.0,0.1
198101,21.0,-5.9
198201,19.8,-7.1
198301,28.9,2.0
198401,21.5,-5.4
198501,21.2,-5.7
198601,27.3,0.4
198701,27.7,0.8
198801,24.9,-2.0
198901,34.8,7.9
199001,36.2,9.3
199101,28.2,1.3
199201,29.7,2.8
199301,32.2,5.3
199401,19.6,-7.3
199501,28.8,1.9
199601,25.3,-1.6
199701,25.9,-1.0
199801,35.6,8.7
199901,28.4,1.5
200001,26.2,-0.7
200101,27.5,0.6
200201,34.1,7.2
200301,21.5,-5.4
200401,23.5,-3.4
200501,29.4,2.5
200601,38.8,11.9
200701,33.0,6.1
200801,29.1,2.2
200901,20.8,-6.1
201001,25.0,-1.9
201101,23.5,-3.4
201201,32.1,5.2
201301,30.5,3.6
201401,19.8,-7.1
201501,24.4,-2.5
201601,27.2,0.3
201701,34.6,7.7
201801,25.0,-1.9
201901,27.4,0.5
202001,34.9,8.0
202101,30.9,4.0
202201,24.0,-2.9
