Kentucky, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,70.8,-1.8
197706,71.5,-1.1
197806,72.6,0.0
197906,70.8,-1.8
198006,71.0,-1.6
198106,73.8,1.2
198206,68.9,-3.7
198306,71.3,-1.3
198406,74.8,2.2
198506,70.9,-1.7
198606,73.8,1.2
198706,74.3,1.7
198806,72.4,-0.2
198906,71.4,-1.2
199006,72.2,-0.4
199106,74.0,1.4
199206,68.8,-3.8
199306,71.8,-0.8
199406,74.6,2.0
199506,72.0,-0.6
199606,72.4,-0.2
199706,70.1,-2.5
199806,73.5,0.9
199906,73.5,0.9
200006,73.1,0.5
200106,71.0,-1.6
200206,74.3,1.7
200306,68.7,-3.9
200406,72.1,-0.5
200506,73.9,1.3
200606,71.4,-1.2
200706,73.7,1.1
200806,74.3,1.7
200906,73.9,1.3
201006,77.0,4.4
201106,74.2,1.6
201206,72.5,-0.1
201306,72.9,0.3
201406,74.1,1.5
201506,74.2,1.6
201606,74.9,2.3
201706,71.7,-0.9
201806,75.5,2.9
201906,71.9,-0.7
202006,72.6,0.0
202106,73.4,0.8
