Tennessee, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,71.6,-2.2
197706,74.1,0.3
197806,73.9,0.1
197906,71.9,-1.9
198006,73.4,-0.4
198106,75.7,1.9
198206,71.5,-2.3
198306,71.8,-2.0
198406,75.1,1.3
198506,73.1,-0.7
198606,75.3,1.5
198706,75.0,1.2
198806,73.7,-0.1
198906,72.2,-1.6
199006,73.9,0.1
199106,74.2,0.4
199206,70.4,-3.4
199306,73.5,-0.3
199406,75.4,1.6
199506,72.0,-1.8
199606,73.4,-0.4
199706,70.9,-2.9
199806,75.8,2.0
199906,74.4,0.6
200006,74.1,0.3
200106,71.9,-1.9
200206,74.9,1.1
200306,70.6,-3.2
200406,73.7,-0.1
200506,74.0,0.2
200606,73.2,-0.6
200706,75.2,1.4
200806,75.4,1.6
200906,75.6,1.8
201006,78.4,4.6
201106,76.5,2.7
201206,73.6,-0.2
201306,74.2,0.4
201406,74.8,1.0
201506,75.9,2.1
201606,76.5,2.7
201706,73.0,-0.8
201806,76.5,2.7
201906,73.4,-0.4
202006,73.5,-0.3
202106,74.1,0.3
