Washington, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,51.3,-0.5
197705,48.7,-3.1
197805,49.8,-2.0
197905,53.1,1.3
198005,52.0,0.2
198105,51.1,-0.7
198205,50.7,-1.1
198305,54.0,2.2
198405,48.2,-3.6
198505,53.0,1.2
198605,52.3,0.5
198705,54.3,2.5
198805,51.6,-0.2
198905,51.4,-0.4
199005,50.6,-1.2
199105,50.1,-1.7
199205,56.0,4.2
199305,57.0,5.2
199405,54.1,2.3
199505,54.6,2.8
199605,48.2,-3.6
199705,54.5,2.7
199805,52.9,1.1
199905,48.5,-3.3
200005,51.1,-0.7
200105,53.1,1.3
200205,49.7,-2.1
200305,51.3,-0.5
200405,52.4,0.6
200505,54.7,2.9
200605,53.0,1.2
200705,52.9,1.1
200805,53.1,1.3
200905,52.3,0.5
201005,48.7,-3.1
201105,48.6,-3.2
201205,50.9,-0.9
201305,53.5,1.7
201405,54.3,2.5
201505,56.0,4.2
201605,55.1,3.3
201705,53.7,1.9
201805,57.6,5.8
201905,55.6,3.8
202005,53.3,1.5
202105,52.6,0.8
