New Jersey, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,26.0,-3.6
197701,19.4,-10.2
197801,26.5,-3.1
197901,30.4,0.8
198001,30.5,0.9
198101,23.0,-6.6
198201,22.2,-7.4
198301,31.5,1.9
198401,25.3,-4.3
198501,25.4,-4.2
198601,30.7,1.1
198701,29.3,-0.3
198801,25.0,-4.6
198901,34.3,4.7
199001,38.0,8.4
199101,31.6,2.0
199201,32.8,3.2
199301,35.1,5.5
199401,23.7,-5.9
199501,35.6,6.0
199601,28.8,-0.8
199701,30.3,0.7
199801,38.8,9.2
199901,33.1,3.5
200001,30.0,0.4
200101,29.8,0.2
200201,36.9,7.3
200301,26.4,-3.2
200401,24.6,-5.0
200501,30.1,0.5
200601,38.7,9.1
200701,36.7,7.1
200801,34.3,4.7
200901,26.9,-2.7
201001,31.2,1.6
201101,27.2,-2.4
201201,35.6,6.0
201301,33.9,4.3
201401,26.0,-3.6
201501,27.9,-1.7
201601,31.4,1.8
201701,36.2,6.6
201801,29.2,-0.4
201901,31.6,2.0
202001,37.3,7.7
202101,33.7,4.1
202201,28.5,-1.1
