Delaware, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,31.9,-4.3
197712,35.7,-0.5
197812,38.8,2.6
197912,39.1,2.9
198012,34.6,-1.6
198112,34.6,-1.6
198212,43.0,6.8
198312,35.0,-1.2
198412,44.0,7.8
198512,34.0,-2.2
198612,38.3,2.1
198712,39.6,3.4
198812,36.4,0.2
198912,25.6,-10.6
199012,42.7,6.5
199112,40.8,4.6
199212,38.5,2.3
199312,36.0,-0.2
199412,42.0,5.8
199512,32.9,-3.3
199612,41.3,5.1
199712,38.9,2.7
199812,42.0,5.8
199912,40.5,4.3
200012,31.3,-4.9
200112,44.4,8.2
200212,36.0,-0.2
200312,37.8,1.6
200412,39.0,2.8
200512,35.6,-0.6
200612,43.9,7.7
200712,39.2,3.0
200812,40.7,4.5
200912,37.1,0.9
201012,31.7,-4.5
201112,43.4,7.2
201212,44.2,8.0
201312,40.4,4.2
201412,41.0,4.8
201512,50.8,14.6
201612,39.2,3.0
201712,36.1,-0.1
201812,41.4,5.2
201912,40.0,3.8
202012,39.7,3.5
202112,43.9,7.7
