Wisconsin, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,46.0,3.4
197704,48.9,6.3
197804,41.4,-1.2
197904,39.6,-3.0
198004,44.7,2.1
198104,45.6,3.0
198204,39.0,-3.6
198304,39.5,-3.1
198404,44.5,1.9
198504,47.9,5.3
198604,47.8,5.2
198704,48.5,5.9
198804,44.0,1.4
198904,41.3,-1.3
199004,45.5,2.9
199104,46.7,4.1
199204,40.4,-2.2
199304,39.8,-2.8
199404,43.3,0.7
199504,38.4,-4.2
199604,38.8,-3.8
199704,41.1,-1.5
199804,47.0,4.4
199904,46.6,4.0
200004,42.9,0.3
200104,46.8,4.2
200204,42.9,0.3
200304,42.6,0.0
200404,44.6,2.0
200504,47.7,5.1
200604,49.0,6.4
200704,42.8,0.2
200804,42.9,0.3
200904,43.0,0.4
201004,50.0,7.4
201104,41.7,-0.9
201204,45.1,2.5
201304,37.8,-4.8
201404,39.7,-2.9
201504,45.0,2.4
201604,42.9,0.3
201704,46.4,3.8
201804,33.5,-9.1
201904,42.4,-0.2
202004,40.7,-1.9
202104,44.9,2.3
