Oklahoma, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,74.7,-2.2
197706,79.6,2.7
197806,77.2,0.3
197906,75.4,-1.5
198006,80.3,3.4
198106,78.6,1.7
198206,72.6,-4.3
198306,73.0,-3.9
198406,78.6,1.7
198506,75.8,-1.1
198606,77.6,0.7
198706,76.3,-0.6
198806,77.6,0.7
198906,73.0,-3.9
199006,80.4,3.5
199106,77.5,0.6
199206,72.9,-4.0
199306,76.1,-0.8
199406,80.1,3.2
199506,73.6,-3.3
199606,77.5,0.6
199706,74.4,-2.5
199806,79.9,3.0
199906,75.1,-1.8
200006,74.0,-2.9
200106,76.8,-0.1
200206,77.2,0.3
200306,73.3,-3.6
200406,74.9,-2.0
200506,77.4,0.5
200606,77.9,1.0
200706,74.9,-2.0
200806,78.2,1.3
200906,79.1,2.2
201006,81.0,4.1
201106,83.4,6.5
201206,79.0,2.1
201306,78.1,1.2
201406,77.3,0.4
201506,78.4,1.5
201606,79.2,2.3
201706,77.3,0.4
201806,80.6,3.7
201906,75.4,-1.5
202006,78.8,1.9
202106,77.4,0.5
