Ohio, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,69.8,0.9
197706,66.6,-2.3
197806,69.2,0.3
197906,68.2,-0.7
198006,66.2,-2.7
198106,69.8,0.9
198206,65.5,-3.4
198306,69.1,0.2
198406,71.7,2.8
198506,65.7,-3.2
198606,69.1,0.2
198706,71.2,2.3
198806,69.2,0.3
198906,68.7,-0.2
199006,68.0,-0.9
199106,72.0,3.1
199206,65.0,-3.9
199306,68.0,-0.9
199406,71.4,2.5
199506,70.5,1.6
199606,70.0,1.1
199706,68.3,-0.6
199806,69.1,0.2
199906,71.1,2.2
200006,69.8,0.9
200106,68.4,-0.5
200206,71.4,2.5
200306,66.0,-2.9
200406,67.9,-1.0
200506,72.6,3.7
200606,67.6,-1.3
200706,70.6,1.7
200806,70.8,1.9
200906,69.0,0.1
201006,72.2,3.3
201106,70.4,1.5
201206,70.3,1.4
201306,69.5,0.6
201406,70.6,1.7
201506,69.8,0.9
201606,71.2,2.3
201706,69.6,0.7
201806,71.4,2.5
201906,68.8,-0.1
202006,70.4,1.5
202106,71.5,2.6
