Minnesota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,46.8,5.5
197704,48.5,7.2
197804,40.9,-0.4
197904,36.8,-4.5
198004,45.9,4.6
198104,45.2,3.9
198204,38.8,-2.5
198304,39.3,-2.0
198404,44.2,2.9
198504,46.6,5.3
198604,45.2,3.9
198704,49.8,8.5
198804,42.9,1.6
198904,40.2,-1.1
199004,42.5,1.2
199104,45.8,4.5
199204,39.0,-2.3
199304,40.4,-0.9
199404,41.9,0.6
199504,37.1,-4.2
199604,36.5,-4.8
199704,38.8,-2.5
199804,46.8,5.5
199904,44.7,3.4
200004,42.2,0.9
200104,43.4,2.1
200204,40.4,-0.9
200304,43.4,2.1
200404,43.7,2.4
200504,47.7,6.4
200604,48.8,7.5
200704,41.2,-0.1
200804,39.6,-1.7
200904,41.8,0.5
201004,50.0,8.7
201104,41.6,0.3
201204,45.5,4.2
201304,34.0,-7.3
201404,38.4,-2.9
201504,44.6,3.3
201604,42.5,1.2
201704,44.4,3.1
201804,32.7,-8.6
201904,41.4,0.1
202004,39.4,-1.9
202104,42.2,0.9
