Massachusetts, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,49.2,4.5
197704,46.6,1.9
197804,43.2,-1.5
197904,44.6,-0.1
198004,46.5,1.8
198104,48.0,3.3
198204,43.0,-1.7
198304,45.8,1.1
198404,44.7,0.0
198504,46.7,2.0
198604,47.6,2.9
198704,46.2,1.5
198804,44.5,-0.2
198904,42.9,-1.8
199004,45.6,0.9
199104,48.8,4.1
199204,43.0,-1.7
199304,45.8,1.1
199404,47.4,2.7
199504,43.5,-1.2
199604,45.2,0.5
199704,43.4,-1.3
199804,47.2,2.5
199904,46.6,1.9
200004,45.1,0.4
200104,45.9,1.2
200204,48.5,3.8
200304,42.9,-1.8
200404,46.9,2.2
200504,48.0,3.3
200604,47.7,3.0
200704,43.3,-1.4
200804,47.9,3.2
200904,48.3,3.6
201004,50.6,5.9
201104,47.7,3.0
201204,48.7,4.0
201304,46.3,1.6
201404,45.9,1.2
201504,45.5,0.8
201604,45.0,0.3
201704,50.2,5.5
201804,42.3,-2.4
201904,47.7,3.0
202004,43.1,-1.6
202104,47.8,3.1
