Montana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,52.7,2.5
197705,51.7,1.5
197805,49.2,-1.0
197905,48.5,-1.7
198005,53.6,3.4
198105,50.7,0.5
198205,47.3,-2.9
198305,48.2,-2.0
198405,49.5,-0.7
198505,54.4,4.2
198605,50.8,0.6
198705,54.7,4.5
198805,54.7,4.5
198905,49.9,-0.3
199005,48.8,-1.4
199105,49.8,-0.4
199205,53.5,3.3
199305,53.7,3.5
199405,53.6,3.4
199505,48.4,-1.8
199605,45.9,-4.3
199705,51.0,0.8
199805,52.7,2.5
199905,48.7,-1.5
200005,51.5,1.3
200105,53.3,3.1
200205,47.5,-2.7
200305,50.1,-0.1
200405,48.1,-2.1
200505,49.0,-1.2
200605,52.9,2.7
200705,52.1,1.9
200805,49.6,-0.6
200905,50.5,0.3
201005,46.3,-3.9
201105,47.1,-3.1
201205,49.5,-0.7
201305,51.9,1.7
201405,51.1,0.9
201505,49.6,-0.6
201605,51.0,0.8
201705,52.3,2.1
201805,55.7,5.5
201905,47.7,-2.5
202005,50.6,0.4
202105,48.6,-1.6
