Georgia, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,43.6,-3.5
197712,45.8,-1.3
197812,48.4,1.3
197912,46.8,-0.3
198012,45.7,-1.4
198112,43.8,-3.3
198212,53.2,6.1
198312,44.2,-2.9
198412,55.1,8.0
198512,44.0,-3.1
198612,48.2,1.1
198712,50.9,3.8
198812,47.3,0.2
198912,40.5,-6.6
199012,51.6,4.5
199112,51.0,3.9
199212,47.3,0.2
199312,45.7,-1.4
199412,50.5,3.4
199512,45.3,-1.8
199612,49.2,2.1
199712,47.2,0.1
199812,53.0,5.9
199912,47.9,0.8
200012,40.6,-6.5
200112,52.9,5.8
200212,45.7,-1.4
200312,44.3,-2.8
200412,46.8,-0.3
200512,44.8,-2.3
200612,51.9,4.8
200712,52.9,5.8
200812,51.7,4.6
200912,46.2,-0.9
201012,39.9,-7.2
201112,51.3,4.2
201212,52.1,5.0
201312,51.2,4.1
201412,51.3,4.2
201512,58.9,11.8
201612,52.1,5.0
201712,49.3,2.2
201812,50.2,3.1
201912,52.3,5.2
202012,46.4,-0.7
202112,56.5,9.4
