Texas, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,73.9,-2.0
197709,80.1,4.2
197809,75.5,-0.4
197909,74.1,-1.8
198009,77.7,1.8
198109,75.0,-0.9
198209,77.0,1.1
198309,76.7,0.8
198409,73.7,-2.2
198509,76.0,0.1
198609,77.2,1.3
198709,74.4,-1.5
198809,75.6,-0.3
198909,73.1,-2.8
199009,76.4,0.5
199109,72.4,-3.5
199209,76.0,0.1
199309,75.0,-0.9
199409,74.4,-1.5
199509,75.4,-0.5
199609,73.9,-2.0
199709,78.0,2.1
199809,79.5,3.6
199909,75.8,-0.1
200009,78.1,2.2
200109,74.9,-1.0
200209,76.0,0.1
200309,73.9,-2.0
200409,75.2,-0.7
200509,79.9,4.0
200609,74.1,-1.8
200709,77.1,1.2
200809,73.3,-2.6
200909,74.1,-1.8
201009,77.7,1.8
201109,77.9,2.0
201209,76.6,0.7
201309,78.2,2.3
201409,76.4,0.5
201509,79.2,3.3
201609,77.6,1.7
201709,76.5,0.6
201809,76.2,0.3
201909,81.5,5.6
202009,74.1,-1.8
202109,78.3,2.4
