Delaware, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,73.1,2.4
197706,68.6,-2.1
197806,70.8,0.1
197906,67.2,-3.5
198006,69.0,-1.7
198106,72.7,2.0
198206,68.6,-2.1
198306,71.1,0.4
198406,72.6,1.9
198506,69.6,-1.1
198606,72.6,1.9
198706,73.6,2.9
198806,71.5,0.8
198906,74.0,3.3
199006,71.4,0.7
199106,72.6,1.9
199206,68.1,-2.6
199306,71.4,0.7
199406,74.4,3.7
199506,71.2,0.5
199606,72.3,1.6
199706,69.3,-1.4
199806,71.3,0.6
199906,71.3,0.6
200006,73.0,2.3
200106,73.5,2.8
200206,73.0,2.3
200306,70.0,-0.7
200406,71.3,0.6
200506,72.7,2.0
200606,72.1,1.4
200706,72.9,2.2
200806,75.2,4.5
200906,70.9,0.2
201006,77.4,6.7
201106,74.3,3.6
201206,72.9,2.2
201306,73.5,2.8
201406,72.8,2.1
201506,73.6,2.9
201606,72.4,1.7
201706,73.6,2.9
201806,72.6,1.9
201906,73.8,3.1
202006,73.7,3.0
202106,73.7,3.0
