Connecticut, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,21.2,-4.2
197701,17.3,-8.1
197801,23.3,-2.1
197901,27.1,1.7
198001,27.5,2.1
198101,17.7,-7.7
198201,17.8,-7.6
198301,27.0,1.6
198401,22.5,-2.9
198501,21.8,-3.6
198601,27.4,2.0
198701,25.5,0.1
198801,22.4,-3.0
198901,30.1,4.7
199001,34.3,8.9
199101,26.7,1.3
199201,28.3,2.9
199301,29.3,3.9
199401,18.7,-6.7
199501,32.3,6.9
199601,25.2,-0.2
199701,26.9,1.5
199801,33.1,7.7
199901,27.4,2.0
200001,24.6,-0.8
200101,25.8,0.4
200201,33.3,7.9
200301,21.4,-4.0
200401,18.7,-6.7
200501,24.3,-1.1
200601,33.7,8.3
200701,31.3,5.9
200801,29.7,4.3
200901,21.0,-4.4
201001,27.0,1.6
201101,23.2,-2.2
201201,31.7,6.3
201301,28.8,3.4
201401,23.6,-1.8
201501,23.3,-2.1
201601,29.7,4.3
201701,32.7,7.3
201801,25.4,0.0
201901,27.0,1.6
202001,33.0,7.6
202101,29.2,3.8
202201,24.2,-1.2
