Indiana, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,73.1,-1.4
197707,76.7,2.2
197807,73.7,-0.8
197907,72.0,-2.5
198007,77.0,2.5
198107,74.2,-0.3
198207,74.6,0.1
198307,77.7,3.2
198407,71.5,-3.0
198507,73.4,-1.1
198607,76.4,1.9
198707,75.5,1.0
198807,76.4,1.9
198907,74.5,0.0
199007,72.8,-1.7
199107,75.6,1.1
199207,72.5,-2.0
199307,76.2,1.7
199407,73.4,-1.1
199507,75.2,0.7
199607,71.5,-3.0
199707,73.8,-0.7
199807,73.6,-0.9
199907,77.9,3.4
200007,71.8,-2.7
200107,73.7,-0.8
200207,77.0,2.5
200307,73.0,-1.5
200407,72.0,-2.5
200507,75.0,0.5
200607,75.4,0.9
200707,71.9,-2.6
200807,73.3,-1.2
200907,69.2,-5.3
201007,76.4,1.9
201107,78.8,4.3
201207,80.2,5.7
201307,72.3,-2.2
201407,69.1,-5.4
201507,72.9,-1.6
201607,74.6,0.1
201707,74.2,-0.3
201807,74.1,-0.4
201907,76.3,1.8
202007,76.5,2.0
202107,73.7,-0.8
