Indiana, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,53.0,2.4
197704,55.9,5.3
197804,51.4,0.8
197904,48.6,-2.0
198004,48.5,-2.1
198104,55.5,4.9
198204,46.2,-4.4
198304,46.9,-3.7
198404,49.2,-1.4
198504,56.2,5.6
198604,54.0,3.4
198704,51.4,0.8
198804,50.6,0.0
198904,50.0,-0.6
199004,50.3,-0.3
199104,54.8,4.2
199204,50.3,-0.3
199304,49.2,-1.4
199404,52.8,2.2
199504,50.4,-0.2
199604,48.1,-2.5
199704,46.9,-3.7
199804,52.4,1.8
199904,53.6,3.0
200004,50.4,-0.2
200104,56.5,5.9
200204,53.5,2.9
200304,53.2,2.6
200404,53.3,2.7
200504,54.0,3.4
200604,55.7,5.1
200704,49.4,-1.2
200804,52.3,1.7
200904,51.5,0.9
201004,57.3,6.7
201104,53.0,2.4
201204,52.9,2.3
201304,50.8,0.2
201404,52.4,1.8
201504,52.9,2.3
201604,52.0,1.4
201704,57.0,6.4
201804,45.1,-5.5
201904,52.2,1.6
202004,48.9,-1.7
202104,51.9,1.3
