New Mexico, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,33.0,-0.6
197701,30.5,-3.1
197801,34.1,0.5
197901,29.0,-4.6
198001,36.5,2.9
198101,36.9,3.3
198201,34.7,1.1
198301,34.2,0.6
198401,32.4,-1.2
198501,31.9,-1.7
198601,39.2,5.6
198701,32.3,-1.3
198801,31.0,-2.6
198901,34.2,0.6
199001,33.6,0.0
199101,32.7,-0.9
199201,31.6,-2.0
199301,36.8,3.2
199401,35.2,1.6
199501,35.7,2.1
199601,36.3,2.7
199701,32.9,-0.7
199801,37.1,3.5
199901,39.3,5.7
200001,38.9,5.3
200101,31.8,-1.8
200201,36.0,2.4
200301,40.2,6.6
200401,36.6,3.0
200501,39.9,6.3
200601,38.2,4.6
200701,30.8,-2.8
200801,32.5,-1.1
200901,37.8,4.2
201001,33.6,0.0
201101,33.8,0.2
201201,38.6,5.0
201301,32.0,-1.6
201401,36.4,2.8
201501,35.6,2.0
201601,34.3,0.7
201701,37.2,3.6
201801,37.0,3.4
201901,35.6,2.0
202001,37.1,3.5
202101,35.0,1.4
202201,35.7,2.1
