Georgia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,41.9,-4.2
197701,35.0,-11.1
197801,38.2,-7.9
197901,41.0,-5.1
198001,47.0,0.9
198101,40.2,-5.9
198201,43.3,-2.8
198301,42.3,-3.8
198401,42.9,-3.2
198501,40.1,-6.0
198601,44.5,-1.6
198701,44.4,-1.7
198801,41.2,-4.9
198901,51.6,5.5
199001,51.4,5.3
199101,47.2,1.1
199201,46.2,0.1
199301,50.3,4.2
199401,42.3,-3.8
199501,46.4,0.3
199601,44.6,-1.5
199701,48.0,1.9
199801,49.5,3.4
199901,49.9,3.8
200001,46.2,0.1
200101,43.3,-2.8
200201,48.1,2.0
200301,42.3,-3.8
200401,45.0,-1.1
200501,49.5,3.4
200601,51.8,5.7
200701,49.2,3.1
200801,45.0,-1.1
200901,46.3,0.2
201001,41.8,-4.3
201101,41.8,-4.3
201201,50.0,3.9
201301,52.5,6.4
201401,40.0,-6.1
201501,44.9,-1.2
201601,44.4,-1.7
201701,53.2,7.1
201801,42.5,-3.6
201901,48.2,2.1
202001,51.4,5.3
202101,47.6,1.5
202201,45.8,-0.3
