Illinois, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,22.7,-2.6
197701,10.1,-15.2
197801,15.8,-9.5
197901,12.7,-12.6
198001,26.4,1.1
198101,25.3,0.0
198201,16.7,-8.6
198301,28.8,3.5
198401,21.9,-3.4
198501,18.2,-7.1
198601,27.9,2.6
198701,26.6,1.3
198801,23.2,-2.1
198901,34.8,9.5
199001,36.4,11.1
199101,23.3,-2.0
199201,31.0,5.7
199301,27.8,2.5
199401,19.9,-5.4
199501,25.8,0.5
199601,24.4,-0.9
199701,21.4,-3.9
199801,31.8,6.5
199901,25.1,-0.2
200001,27.3,2.0
200101,25.7,0.4
200201,33.6,8.3
200301,22.8,-2.5
200401,24.7,-0.6
200501,29.2,3.9
200601,38.1,12.8
200701,30.3,5.0
200801,26.9,1.6
200901,20.6,-4.7
201001,21.5,-3.8
201101,22.7,-2.6
201201,31.9,6.6
201301,29.2,3.9
201401,19.3,-6.0
201501,25.7,0.4
201601,26.9,1.6
201701,32.1,6.8
201801,24.1,-1.2
201901,25.4,0.1
202001,31.8,6.5
202101,29.5,4.2
202201,22.2,-3.1
